# mag_pl    log_mass    log_q    log_a    d_au    sep_as    incl    ecc    flag    ii    jj
15.935        -2.279        -1.951    0.984    9.7    0.611    0.708    0.030    1    7    1021
18.610        -2.897        -2.569    1.476    39.4    2.491    1.870    0.403    1    7    1033
18.574        -2.890        -2.562    1.546    37.1    2.346    1.728    0.155    1    7    1040
15.749        -2.222        -1.894    1.355    26.9    1.700    0.401    0.192    1    7    1048
18.970        -2.964        -2.636    2.125    156.3    9.874    1.949    0.331    0    7    1075
18.516        -2.879        -2.551    1.724    60.4    3.818    2.882    0.168    1    7    1078
19.213        -3.007        -2.679    1.018    14.4    0.912    2.149    0.396    1    7    1083
18.255        -2.829        -2.501    1.364    30.6    1.936    1.518    0.337    1    7    1097
16.401        -2.410        -2.082    1.151    21.5    1.360    1.792    0.547    1    7    1105
16.174        -2.348        -2.020    1.013    10.6    0.670    0.778    0.061    1    7    1105
18.242        -2.826        -2.498    2.167    177.0    11.180    0.521    0.222    0    7    1115
13.921        -2.479        -2.178    1.505    28.6    2.940    1.612    0.127    1    8    3
15.155        -2.830        -2.529    1.248    21.5    2.210    2.092    0.244    1    8    5
14.094        -2.529        -2.228    1.722    78.2    8.042    1.554    0.516    1    8    41
14.511        -2.649        -2.348    0.681    5.8    0.599    1.910    0.236    1    8    71
15.441        -2.909        -2.608    0.897    11.8    1.213    2.640    0.518    1    8    74
13.837        -2.454        -2.153    1.433    44.0    4.520    0.461    0.637    1    8    76
15.544        -2.937        -2.636    1.228    22.2    2.278    0.736    0.345    1    8    79
14.572        -2.666        -2.365    0.268    2.3    0.237    1.297    0.255    0    8    85
15.724        -2.986        -2.685    1.190    21.5    2.206    1.051    0.398    1    8    119
15.568        -2.944        -2.643    0.610    4.8    0.496    1.446    0.249    1    8    135
15.807        -3.009        -2.708    0.874    8.4    0.861    1.970    0.140    1    8    156
15.002        -2.788        -2.486    0.150    1.2    0.126    1.376    0.066    0    8    174
15.284        -2.866        -2.565    1.316    32.5    3.339    1.356    0.586    1    8    178
14.716        -2.707        -2.406    1.413    37.3    3.836    0.729    0.511    1    8    182
15.624        -2.959        -2.658    1.875    110.6    11.370    2.589    0.482    0    8    186
15.177        -2.836        -2.535    1.437    37.9    3.898    1.093    0.419    1    8    195
14.815        -2.735        -2.434    1.681    66.0    6.790    1.580    0.413    1    8    200
14.501        -2.646        -2.345    1.104    19.0    1.950    1.614    0.512    1    8    201
14.844        -2.743        -2.442    2.059    116.1    11.934    2.153    0.448    0    8    203
15.769        -2.999        -2.698    1.388    24.4    2.508    1.394    0.031    1    8    243
15.167        -2.834        -2.532    1.436    40.0    4.114    2.877    0.472    1    8    278
15.071        -2.807        -2.506    1.506    48.8    5.020    0.665    0.534    1    8    301
14.120        -2.537        -2.236    1.855    138.7    14.257    1.655    0.968    0    8    313
13.075        -2.228        -1.927    1.347    26.9    2.770    1.352    0.227    1    8    343
15.242        -2.854        -2.553    1.446    38.1    3.919    0.815    0.378    1    8    344
15.078        -2.809        -2.508    1.706    74.8    7.687    1.901    0.488    1    8    349
15.578        -2.947        -2.646    1.184    17.7    1.817    1.698    0.279    1    8    356
15.385        -2.894        -2.593    1.071    13.7    1.408    2.095    0.263    1    8    358
11.903        -1.864        -1.562    0.261    0.6    0.065    1.491    0.122    0    8    376
15.373        -2.890        -2.589    0.714    8.2    0.846    1.478    0.816    1    8    377
14.120        -2.537        -2.236    0.841    4.6    0.476    1.832    0.448    1    8    407
15.381        -2.892        -2.591    0.577    5.6    0.574    1.551    0.721    1    8    440
14.885        -2.755        -2.454    1.315    23.4    2.409    0.203    0.141    1    8    444
13.268        -2.286        -1.985    0.529    5.8    0.600    1.110    0.754    1    8    475
11.144        -1.616        -1.315    1.622    55.3    5.691    1.369    0.359    1    8    494
15.458        -2.914        -2.613    1.906    97.2    9.998    2.284    0.235    1    8    498
15.442        -2.909        -2.608    1.707    54.5    5.603    0.860    0.465    1    8    517
15.721        -2.986        -2.685    0.480    3.5    0.360    1.385    0.193    0    8    519
14.667        -2.693        -2.392    1.128    18.3    1.882    1.364    0.382    1    8    549
15.188        -2.839        -2.538    1.344    32.7    3.363    0.073    0.512    1    8    556
15.815        -3.011        -2.710    1.118    20.4    2.097    2.071    0.583    1    8    558
14.739        -2.714        -2.413    1.493    54.1    5.561    0.967    0.762    1    8    561
12.685        -2.109        -1.808    0.574    4.3    0.441    1.519    0.157    1    8    566
14.787        -2.727        -2.426    1.875    99.2    10.196    1.398    0.357    1    8    567
13.367        -2.316        -2.015    1.731    61.8    6.356    1.824    0.476    1    8    576
14.936        -2.769        -2.468    1.940    115.4    11.864    2.265    0.395    0    8    577
14.837        -2.741        -2.440    0.807    10.1    1.034    2.454    0.587    1    8    582
15.190        -2.840        -2.539    1.786    91.4    9.397    0.813    0.568    1    8    585
15.581        -2.947        -2.646    1.828    89.8    9.238    2.058    0.371    1    8    591
13.382        -2.320        -2.019    1.521    46.1    4.737    0.663    0.399    1    8    622
15.341        -2.882        -2.581    1.196    20.8    2.134    1.538    0.358    1    8    626
15.155        -2.830        -2.529    1.061    11.5    1.179    0.919    0.112    1    8    662
15.373        -2.890        -2.589    0.559    4.5    0.461    0.842    0.246    1    8    666
15.776        -3.000        -2.699    1.241    20.5    2.106    2.577    0.190    1    8    667
15.490        -2.923        -2.622    1.087    16.0    1.648    2.337    0.320    1    8    682
15.107        -2.817        -2.516    0.379    2.8    0.285    0.769    0.169    0    8    700
14.867        -2.750        -2.449    1.784    95.0    9.765    0.661    0.584    1    8    740
14.172        -2.552        -2.251    1.676    53.8    5.533    1.128    0.167    1    8    765
13.682        -2.409        -2.108    1.748    80.0    8.230    2.119    0.454    1    8    783
14.195        -2.559        -2.258    1.423    38.5    3.958    0.556    0.467    1    8    785
15.728        -2.988        -2.687    1.140    16.8    1.723    2.813    0.219    1    8    795
15.580        -2.947        -2.646    1.312    19.5    2.006    1.651    0.177    1    8    805
15.224        -2.849        -2.548    0.612    5.8    0.595    2.553    0.426    1    8    810
14.457        -2.634        -2.333    0.692    5.6    0.579    0.580    0.152    1    8    815
13.172        -2.257        -1.956    2.077    171.8    17.666    1.659    0.452    0    8    833
15.747        -2.993        -2.692    1.973    118.9    12.222    0.979    0.275    0    8    848
12.817        -2.149        -1.848    1.118    17.4    1.790    2.435    0.335    1    8    849
15.628        -2.960        -2.659    0.331    2.6    0.263    2.026    0.330    0    8    872
15.787        -3.004        -2.703    1.792    69.5    7.143    1.218    0.155    1    8    890
15.545        -2.938        -2.637    0.950    15.1    1.551    2.365    0.704    1    8    903
15.530        -2.933        -2.632    1.901    78.8    8.104    2.827    0.044    1    8    903
15.202        -2.843        -2.542    0.999    11.1    1.145    1.002    0.148    1    8    918
15.524        -2.932        -2.631    1.026    12.9    1.323    2.326    0.220    1    8    925
15.203        -2.843        -2.542    0.138    1.6    0.162    2.227    0.155    0    8    930
14.040        -2.514        -2.213    1.343    29.7    3.053    0.248    0.354    1    8    943
14.017        -2.507        -2.206    1.205    25.1    2.585    1.606    0.586    1    8    968
15.462        -2.915        -2.614    1.578    39.4    4.052    0.288    0.061    1    8    979
14.786        -2.727        -2.426    1.983    138.7    14.263    1.890    0.501    0    8    982
15.552        -2.940        -2.639    1.238    24.0    2.471    1.658    0.422    1    8    986
14.064        -2.521        -2.220    1.622    53.2    5.473    1.619    0.293    1    8    987
15.593        -2.951        -2.650    1.546    52.4    5.393    2.486    0.519    1    8    1024
15.141        -2.826        -2.525    0.956    10.3    1.055    1.104    0.169    1    8    1057
14.502        -2.646        -2.345    0.900    9.9    1.014    0.332    0.248    1    8    1079
14.021        -2.508        -2.207    1.205    19.0    1.956    1.544    0.200    1    8    1093
