   -0.141488909721374512E+00    0.997105658054351807E+00    0.165330221652984632E+01    0.164303398132324224E+00   -0.382271261459522549E+02   -0.230091898153046470E+01    1
    0.496606051921844482E+01    0.190887451171875000E-01    0.488646593093872017E+01    0.164502749443054208E+01   -0.371461720345051489E+02   -0.240091898153046435E+01    1
    0.462657570838928223E+01    0.343376398086547852E-01    0.590117011666297930E+01    0.462950682640075661E+00   -0.355095567269863679E+02   -0.250091898153046444E+01    1
    0.381324768066406250E+01    0.447454750537872314E+00    0.533436302542686480E+01    0.186200854778289804E+01   -0.319052240404708414E+02   -0.260091898153046497E+01    1
    0.326972961425781250E+01    0.475947201251983643E+00    0.538532403111457825E+01    0.102077672481536874E+01   -0.306859291878604417E+02   -0.270091898153046506E+01    1
    0.400078356266021729E+01    0.210059642791748047E+00    0.568134951591491699E+01    0.984505987167358376E+00   -0.302778812196279254E+02   -0.280091898153046470E+01    1
    0.353658795356750488E+01    0.385888874530792236E+00    0.174378895163536085E+01    0.107712492942810067E+01   -0.302416191438694000E+02   -0.290091898153046479E+01    1
    0.302105844020843506E+01    0.448344528675079346E+00    0.184884963035583505E+01    0.548475480079650857E+00   -0.299679324161792522E+02   -0.300091898153046532E+01    1
   -0.193277120590209961E+01    0.867933630943298340E-01    0.883084375858306814E+01    0.615968203544616677E+00   -0.282337389919139952E+02   -0.310091898153046586E+01    1
    0.710162520408630371E+00    0.648814558982849121E+00    0.407791300415992719E+01    0.800445294380187966E+00   -0.276032550195216828E+02   -0.320091898153046506E+01    1
