;  Age	   M/Ms  Teff(K)   L/Ls   log(g)  R(Gcm)   D       Li     J       H       K       L        M     NIRC335
;   0.001  0.0005   628.   -5.37    2.65   12.25  1.0000  1.0000  16.339  16.846  16.966  13.396  13.836  16.110
   0.001  1.0500  3841.    0.17    3.57  193.60  0.0000  1.0000   2.588   1.844   1.691   1.565   1.689   1.615
   0.001  1.1000  3871.    0.21    3.57  197.99  0.0000  1.0000   2.515   1.775   1.625   1.505   1.630   1.549
   0.001  1.1500  3899.    0.23    3.58  201.14  0.0000  1.0000   2.457   1.722   1.574   1.460   1.586   1.499
   0.001  1.2000  3978.    0.28    3.58  203.89  0.0000  1.0000   2.363   1.640   1.501   1.402   1.530   1.432
   0.001  1.3000  4098.    0.35    3.60  208.83  0.0000  1.0000   2.218   1.521   1.394   1.310   1.438   1.330
   0.001  1.4000  4197.    0.42    3.60  214.98  0.0000  1.0000   2.086   1.405   1.289   1.219   1.348   1.233
   0.002  0.0010   814.   -5.04    3.07   10.67  1.0000  1.0000  15.282  15.107  15.222  12.298  13.090  14.12
   0.002  0.0020  1125.   -4.45    3.34   11.00  1.0000  1.0000  14.989  13.288  12.751  10.532  11.620  11.06
   0.002  0.0030  1352.   -4.09    3.47   11.56  1.0000  1.0000  13.748  12.356  11.657   9.912  10.881  10.35
   0.002  0.0040  1551.   -3.81    3.56   12.14  1.0000  1.0000  12.647  11.676  10.976   9.516  10.112   9.783
   0.002  0.0050  1716.   -3.59    3.61   12.76  1.0000  1.0000  12.021  11.063  10.376   9.133   9.490   9.519
   0.002  0.0060  1849.   -3.42    3.65   13.39  1.0000  1.0000  11.376  10.619  10.073   8.943   9.227   9.373
   0.002  0.0070  1954.   -3.28    3.67   14.04  1.0000  1.0000  10.960  10.293   9.794   8.745   9.002   9.202
   0.002  0.0080  2047.   -3.16    3.69   14.77  1.0000  1.0000  10.583   9.987   9.528   8.550   8.786   9.007
   0.002  0.0090  2119.   -3.06    3.70   15.42  1.0000  1.0000  10.256   9.725   9.302   8.385   8.614   8.844
   0.002  0.0100  2172.   -2.98    3.71   16.08  1.0000  1.0000  10.078   9.543   9.124   8.240   8.464   8.660
   0.002  0.0120  2264.   -2.84    3.73   17.32  1.0000  1.0000   9.762   9.227   8.818   7.988   8.176   8.380
   0.002  0.0150  2368.   -2.68    3.73   19.18  1.0000  1.0000   9.368   8.836   8.440   7.666   7.801   8.011
   0.002  0.0200  2477.   -2.48    3.74   22.00  0.9950  1.0000   8.878   8.341   7.960   7.251   7.313   7.574
   0.002  0.0300  2609.   -2.23    3.75   26.48  0.8500  1.0000   8.278   7.740   7.383   6.734   6.760   7.018
   0.002  0.0400  2747.   -1.96    3.70   32.62  0.5100  1.0000   7.621   7.087   6.756   6.158   6.179   6.421
   0.002  0.0500  2790.   -1.74    3.61   40.32  0.7600  1.0000   7.107   6.572   6.250   5.667   5.683   5.919
   0.002  0.0600  2828.   -1.63    3.60   44.55  0.3000  1.0000   6.837   6.300   5.986   5.421   5.435   5.672
   0.002  0.0700  2858.   -1.52    3.57   49.96  0.2255  1.0000   6.546   6.006   5.701   5.148   5.162   5.401
   0.002  0.0720  2864.   -1.50    3.57   50.96  0.2090  1.0000   6.495   5.954   5.650   5.101   5.115   5.354
   0.002  0.0750  2865.   -1.42    3.51   55.30  0.5100  1.0000   6.318   5.778   5.473   4.924   4.936   5.176
   0.002  0.0800  2884.   -1.42    3.55   54.85  0.1520  1.0000   6.307   5.764   5.465   4.925   4.939   5.181
   0.002  0.0900  2904.   -1.34    3.53   59.50  0.1030  1.0000   6.102   5.557   5.263   4.732   4.746   4.989
   0.002  0.1000  2884.   -1.22    3.45   68.96  0.3220  1.0000   5.809   5.264   4.967   4.428   4.442   4.685
   0.002  0.1100  3014.   -1.25    3.59   61.16  0.0005  1.0000   5.899   5.329   5.065   4.585   4.611   4.821
   0.002  0.1300  3045.   -1.19    3.63   63.93  0.0000  1.0000   5.768   5.190   4.931   4.466   4.492   4.706
   0.002  0.1500  3080.   -1.13    3.65   67.08  0.0000  1.0000   5.623   5.037   4.785   4.336   4.361   4.580
   0.002  0.1750  3122.   -1.05    3.66   71.29  0.0000  1.0000   5.445   4.847   4.602   4.173   4.201   4.409
   0.002  0.2000  3162.   -0.99    3.67   75.26  0.0000  1.0000   5.284   4.675   4.436   4.026   4.061   4.246
   0.002  0.2500  3245.   -0.85    3.68   83.15  0.0000  1.0000   4.977   4.342   4.116   3.747   3.796   3.952
   0.002  0.3000  3313.   -0.75    3.69   90.30  0.0000  1.0000   4.725   4.070   3.852   3.518   3.578   3.716
   0.002  0.3500  3369.   -0.66    3.69   96.92  0.0000  1.0000   4.515   3.843   3.632   3.325   3.393   3.501
   0.002  0.4000  3416.   -0.58    3.70  103.26  0.0000  1.0000   4.331   3.645   3.441   3.155   3.231   3.316
   0.002  0.4500  3460.   -0.51    3.70  109.09  0.0000  1.0000   4.170   3.474   3.274   3.008   3.091   3.157
   0.002  0.5000  3497.   -0.45    3.71  114.14  0.0000  1.0000   4.038   3.332   3.137   2.887   2.976   3.026
   0.002  0.5700  3552.   -0.37    3.71  121.53  0.0000  1.0000   3.852   3.136   2.947   2.720   2.814   2.841
   0.002  0.6000  3574.   -0.34    3.71  123.97  0.0000  1.0000   3.790   3.070   2.883   2.664   2.761   2.778
   0.002  0.6200  3588.   -0.32    3.71  126.14  0.0000  1.0000   3.740   3.017   2.832   2.619   2.717   2.728
   0.002  0.7000  3645.   -0.24    3.72  132.97  0.0000  1.0000   3.575   2.846   2.668   2.475   2.579   2.570
   0.002  0.7500  3679.   -0.20    3.73  136.65  0.0000  1.0000   3.486   2.754   2.580   2.399   2.507   2.485
   0.002  0.8000  3711.   -0.17    3.73  140.12  0.0000  1.0000   3.404   2.669   2.500   2.329   2.439   2.408
   0.002  0.8500  3745.   -0.13    3.74  143.76  0.0000  1.0000   3.318   2.584   2.419   2.257   2.370   2.329
   0.002  0.9000  3780.   -0.11    3.76  144.49  0.0000  0.9990   3.277   2.545   2.384   2.231   2.344   2.296
   0.002  0.9500  3808.   -0.06    3.74  150.85  0.0000  0.9990   3.159   2.427   2.268   2.125   2.240   2.183
   0.002  1.0000  3842.   -0.03    3.75  153.14  0.0000  0.9980   3.098   2.369   2.214   2.078   2.195   2.132
   0.002  1.0500  3873.    0.01    3.75  157.89  0.0000  0.9980   3.007   2.280   2.128   1.999   2.119   2.049
   0.002  1.1000  3910.    0.04    3.75  160.58  0.0000  0.9980   2.939   2.215   2.068   1.948   2.069   1.992
   0.002  1.1500  3998.    0.09    3.76  163.06  0.0000  0.9980   2.833   2.121   1.984   1.881   2.007   1.914
   0.002  1.2000  4048.    0.12    3.77  164.46  0.0000  0.9970   2.775   2.074   1.942   1.846   1.972   1.873
   0.002  1.3000  4136.    0.18    3.78  168.42  0.0000  0.9980   2.657   1.970   1.847   1.765   1.892   1.785
